SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
519097,RITESH INTER,XT,Q,9.21,9.21,9.21,9.21,9.21,9.03,1,1,9.00,
519105,AVT NATURAL ,B ,Q,38.60,39.45,37.85,38.85,39.20,37.85,172,18829,726945.00,
519126,HIND.FOODS  ,XT,Q,297.90,299.00,288.00,290.45,290.50,288.50,45,4001,1162779.00,
519136,NAHAR INDUST,B ,Q,77.15,78.50,74.65,77.95,77.60,76.75,149,12623,970815.00,
519152,VADILAL ENT ,XT,Q,1109.90,1157.10,1102.00,1157.05,1157.00,1102.00,21,219,251578.00,
519156,VADILAL IND ,B ,Q,850.00,870.60,850.00,859.10,859.10,852.35,187,19472,16712867.00,
519183,ADF FOODS LT,B ,Q,219.50,242.00,217.00,237.75,237.75,223.80,1405,165685,37155325.00,
519214,WILLIAM.FIN.,XT,Q,30.00,30.25,30.00,30.25,30.25,28.90,3,223,6699.00,
519216,AJANTA SOYA ,X ,Q,48.85,50.50,46.65,49.45,49.30,47.45,36,6087,300161.00,
519224,WILLIAM.MAGO,T ,Q,92.50,93.70,92.50,93.55,93.70,89.25,13,813,75863.00,
519248,JVL AGRO    ,B ,Q,22.50,26.35,22.40,25.90,25.90,22.75,964,183281,4617618.00,
519260,SANWARIA    ,B ,Q,21.00,21.50,19.90,20.00,20.00,20.90,2517,2675101,54430490.00,
519279,MADHUR IND  ,X ,Q,11.20,11.20,11.20,11.20,11.20,11.78,1,500,5600.00,
519287,MODERN DAIRI,XT,Q,6.32,6.86,6.32,6.82,6.75,6.54,17,4206,28707.00,
519295,BAMBINO AGRO,XT,Q,230.00,230.00,223.00,224.90,230.00,222.60,4,35,7877.00,
519307,VIKAS WSP   ,X ,Q,12.90,13.00,12.50,12.85,12.95,12.80,236,160827,2060002.00,
519359,POONA DAL   ,X ,Q,56.75,59.50,56.75,59.50,59.50,56.70,17,793,46939.00,
519383,ANIK INDS   ,B ,Q,32.00,32.40,32.00,32.40,32.40,32.45,3,555,17800.00,
519421,KSE LIMITED ,XT,Q,2697.60,2832.45,2620.00,2826.10,2832.00,2697.60,174,3160,8887080.00,
519455,NARBADA     ,XT,Q,24.05,24.05,23.90,23.90,23.90,23.05,4,150,3598.00,
519457,VIRAT CRANE ,X ,Q,52.45,55.00,52.25,55.00,55.00,55.00,28,7471,390890.00,
519475,CHORDIA FOOD,XT,Q,140.00,144.90,133.00,133.00,133.00,138.00,10,861,122285.00,
519477,CIANAGRO    ,P ,Q,41.80,44.95,41.80,44.95,44.95,44.00,3,700,29575.00,
519483,TAI INDUST. ,ST,Q,18.15,19.95,18.15,19.95,19.95,19.00,2,502,10011.00,
519491,OCEAN AGRO  ,X ,Q,22.55,22.55,21.55,21.55,21.55,22.55,2,100,2160.00,
519552,HERITGFOOD  ,B ,Q,714.00,730.00,711.20,729.70,730.00,709.15,48,434,312075.00,
519560,NEHA INTER. ,SS,Q,6.54,6.54,6.22,6.40,6.48,6.22,19,13867,87584.00,
519566,SIMRAN FARMS,XT,Q,120.00,129.90,119.10,123.85,129.00,125.35,51,4367,528607.00,
519570,LAKSHMI OVER,B ,Q,18.20,18.90,18.10,18.90,18.90,18.00,253,63174,1183763.00,
519588,DFM FOODS   ,B ,Q,1458.55,1458.55,1449.95,1449.95,1450.00,1403.35,4,22,31985.00,
519600,CCL PRODUCTS,B ,Q,293.00,293.00,278.50,282.70,282.00,280.00,257,3872,1091579.00,
519602,KELLTONTEC  ,B ,Q,65.30,66.75,63.00,65.75,66.75,63.60,297,33625,2185579.00,
519612,MAHAAN FOODS,X ,Q,15.80,15.80,14.40,14.40,14.40,14.40,2,55,862.00,
520008,RICO AUTO   ,B ,Q,84.80,84.80,82.20,83.65,83.65,84.25,479,39629,3296187.00,
